prec,recall,pf
0.90,1.00,1.00
0.90,1.00,1.00
0.90,1.00,1.00
0.92,0.96,0.57
0.90,1.00,1.00
0.90,1.00,1.00
0.90,1.00,1.00
0.90,1.00,1.00
0.90,1.00,1.00
0.90,1.00,1.00
