prec,recall,pf
0.60,0.99,0.95
0.60,0.99,0.95
0.60,0.99,0.95
0.87,0.93,0.40
0.60,0.99,0.95
0.60,0.99,0.95
0.60,0.99,0.95
0.60,0.99,0.95
0.60,0.99,0.95
0.60,0.99,0.95
