prec,recall,pf
0.67,0.11,0.04
0.67,0.11,0.04
0.67,0.11,0.04
0.83,0.95,0.44
0.67,0.11,0.04
0.67,0.11,0.04
0.67,0.11,0.04
0.67,0.11,0.04
0.67,0.11,0.04
0.67,0.11,0.04
