prec,recall,pf
0.87,0.97,0.97
0.74,0.98,1.00
0.76,0.56,0.31
0.79,0.92,0.83
0.97,0.98,0.96
0.85,1.00,1.00
0.00,0.00,0.25
0.74,0.97,0.98
0.93,0.91,0.37
0.77,0.99,1.00
