prec,recall,pf
0.77,0.98,0.72
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
0.99,1.00,1.00
