prec,recall,pf
0.72,0.94,0.61
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
0.88,1.00,1.00
