prec,recall,pf
0.00,0.00,0.00
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
0.80,0.76,0.14
