prec,recall,pf
0.68,0.70,0.35
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
0.92,0.91,0.30
