prec,recall,pf
0.69,0.47,0.14
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
0.89,0.94,0.29
