prec,recall,pf
0.77,0.99,0.93
0.77,0.99,0.93
0.77,0.99,0.93
0.91,0.91,0.35
0.77,0.99,0.93
0.77,0.99,0.93
0.77,0.99,0.93
0.77,0.99,0.93
0.77,0.99,0.93
0.77,0.99,0.93
