prec,recall,pf
0.68,0.96,0.88
0.68,0.96,0.88
0.68,0.96,0.88
0.89,0.91,0.39
0.68,0.96,0.88
0.68,0.96,0.88
0.68,0.96,0.88
0.68,0.96,0.88
0.68,0.96,0.88
0.68,0.96,0.88
