@relation appium
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,1}

@data
15,11,631,224,161,1090,135,0
0,0,0,224,156,1078,90,0
0,0,0,141,108,1413,218,1
112,80,133,223,159,1094,87,1
19,14,33,224,159,1082,720,0
113,79,133,224,161,1096,229,0
114,81,136,228,164,1112,494,1
115,81,136,229,164,1114,343,0
0,0,0,230,166,1115,677,1
7,5,4,230,166,1115,788,1
114,82,142,231,166,1115,59,1
1,0,0,230,166,1120,872,1
0,0,0,231,166,1120,376,1
113,82,150,232,166,1122,326,1
0,0,0,232,166,1120,582,1
0,0,0,234,166,1118,291,0
1,0,0,247,173,1103,87,0
22,17,45,248,175,1105,0,1
113,80,151,235,165,1106,104,1
0,0,0,249,180,1108,660,0
3,1,44,249,182,1111,242,0
2,2,0,250,188,1125,224,0
1,1,0,251,189,1106,657,0
117,88,161,251,188,1091,203,0
4,2,44,252,189,1091,165,0
0,0,0,253,189,1092,1438,0
114,80,155,241,167,1091,83,1
115,80,155,243,168,1093,123,1
1,1,0,254,193,1097,2266,0
118,91,164,255,193,1096,190,0
119,91,167,256,193,1101,1583,0
23,17,45,257,194,1103,477,1
0,0,0,251,195,1104,288,0
0,0,0,248,190,1096,1793,1
0,0,0,239,166,1088,178,1
22,16,45,244,194,1101,2115,1
3,2,0,245,194,1098,245,1
109,85,171,244,191,1076,46,0
2,2,0,245,193,1081,878,1
0,0,0,246,193,1081,0,0
0,0,0,248,193,1083,138,0
109,85,175,248,193,1084,462,1
0,0,0,249,193,1085,460,1
110,85,175,250,193,1086,2142,0
1,1,0,251,195,1079,577,1
23,16,43,251,194,1079,0,1
111,86,177,253,194,1085,162,1
3,1,0,254,193,1073,65,1
1,1,0,253,192,1064,301,1
0,0,0,254,192,1064,285,1
1,0,65,255,192,1065,170,1
111,85,167,256,192,1063,192,1
112,85,167,258,192,1062,57,0
1,1,1,255,189,1055,1321,1
4,2,0,255,189,1057,3741,0
1,1,0,256,190,1057,500,1
0,0,0,257,190,1057,603,0
109,84,168,258,191,1058,453,1
110,84,173,259,191,1063,387,0
24,16,43,260,193,1063,63,1
0,0,0,261,193,1063,251,1
5,4,0,262,194,1063,127,1
1,1,0,264,194,1065,7722,0
110,82,176,265,190,1058,76,1
1,1,0,266,190,1056,88,0
111,82,177,267,191,1051,7,1
112,82,177,268,191,1051,44,1
74,55,92,152,108,1292,79,1
0,0,0,149,108,1330,1192,1
72,55,91,148,108,1330,228,1
111,82,181,267,192,1039,81,1
77,55,92,156,109,1271,116,1
108,80,182,263,189,1034,84,1
0,0,0,262,189,1036,9746,1
2,2,0,259,189,1025,513,1
2,2,0,258,186,1017,266,1
3,2,0,259,186,1017,248,1
2,0,0,260,186,1017,844,0
102,78,178,258,188,1019,30,0
13,12,506,259,188,1026,91,1
1,0,0,257,184,1016,1311,0
5,3,0,258,185,1017,617,0
0,0,0,259,185,1015,526,1
0,0,0,257,188,1005,1090,0
5,3,48,257,189,986,290,0
0,0,0,252,186,967,3640,1
1,1,0,252,187,956,68,1
1,0,0,253,187,960,758,0
99,75,188,254,187,967,107,0
99,75,189,254,188,966,2,0
99,75,189,254,188,970,316,0
0,0,0,256,190,979,164,1
5,4,46,257,190,979,282,0
100,77,195,258,191,979,463,0
0,0,0,255,190,979,541,1
13,12,468,258,191,976,56,1
0,0,0,259,188,967,944,0
0,0,0,258,186,944,384,1
21,15,42,259,186,943,0,1
94,75,189,250,183,878,334,0
0,0,0,251,184,879,610,1
95,76,190,251,185,879,92,0
13,8,391,248,179,848,78,1
0,0,0,248,178,847,440,0
0,0,0,245,176,840,600,0
0,0,0,244,170,822,7343,1
1,0,0,245,170,822,3661,1
19,13,42,246,170,822,396,1
1,1,0,247,170,808,374,1
92,69,184,247,168,773,203,1
0,0,0,248,168,773,532,0
9,5,0,247,169,773,1393,1
0,0,0,247,169,772,143,1
0,0,0,247,169,764,215,0
0,0,0,248,168,764,1040,1
1,1,0,246,169,760,310,1
0,0,0,246,170,755,389,0
89,69,174,246,171,747,357,1
1,0,0,242,171,741,459,1
1,0,0,243,171,740,402,0
89,69,176,244,171,740,399,1
2,1,0,245,171,740,596,1
0,0,0,246,172,741,534,1
0,0,0,247,172,741,510,0
0,0,0,248,172,741,457,0
0,0,0,249,172,741,340,0
0,0,0,250,172,741,618,1
3,2,0,248,176,742,13772,0
1,1,0,249,177,742,368,1
1,1,0,248,177,740,303,0
2,0,0,249,177,739,358,1
87,69,177,248,176,739,191,1
88,70,181,250,180,741,492,1
89,70,181,251,180,741,225,0
88,72,190,249,182,758,123,0
0,0,0,250,183,763,685,1
17,13,45,247,182,764,127,1
19,13,45,249,182,765,123,0
1,1,8,250,183,767,356,0
2,1,8,251,183,767,356,0
87,73,194,252,185,772,52,1
2,1,0,252,185,770,1098,1
1,0,0,253,185,770,1004,0
2,0,0,254,185,771,2231,1
0,0,0,249,178,733,435,0
84,67,185,250,179,730,84,1
1,0,1,250,180,729,77,1
0,0,0,251,179,729,8992,1
10,5,0,252,179,729,281,0
19,11,40,240,171,701,0,1
4,3,0,242,169,700,203,1
73,58,184,242,169,700,182,1
7,4,258,234,167,681,46,0
0,0,0,234,166,678,840,1
66,55,176,231,165,663,82,1
1,1,0,231,160,656,307,1
0,0,0,232,154,647,487,1
1,0,0,231,149,638,490,0
5,3,0,232,150,632,300,1
66,45,176,233,150,632,115,1
6,3,0,233,148,627,266,0
2,1,0,234,148,623,1542,1
66,43,172,232,147,601,84,1
0,0,0,232,145,593,1152,0
1,0,0,233,145,589,1159,1
66,42,172,234,146,586,78,1
0,0,0,235,146,586,319,1
2,1,0,238,148,566,1611,1
65,44,175,239,148,567,126,0
0,0,0,240,147,562,136,1
2,1,0,241,148,560,887,1
0,0,0,235,147,583,1544,1
65,45,174,237,148,559,177,0
2,1,0,239,150,557,341,1
3,3,10,238,149,561,1023,0
63,46,171,232,146,544,187,1
64,46,173,234,146,549,90,1
3,1,0,235,146,549,4464,0
