@relation openDCIM
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
14,10,78,45,39,105,0,14
0,0,0,34,28,71,263,1
1,1,0,35,29,71,249,1
3,1,0,37,29,71,485,1
2,1,0,36,29,71,165,1
3,3,0,40,35,97,377,14
14,13,141,46,41,211,111,1000
27,24,69,38,32,160,0,1000
3,2,3,3,2,6,381,1000
18,15,17,38,33,78,104,1
25,21,36,46,39,117,297,1
24,20,37,45,38,124,46,1
21,19,40,42,37,133,192,1
12,10,98,40,36,139,199,30
20,18,51,41,38,161,379,30
20,22,62,42,43,181,119,14
2,2,0,40,43,196,113,1
1,0,0,39,41,196,223,1
0,0,0,38,41,196,403,1
27,25,71,47,44,213,324,1
13,13,141,45,41,211,339,1
12,12,138,45,40,208,209,1
11,11,137,43,39,205,196,1
10,9,135,44,40,205,48,1
32,27,72,47,39,202,41,7
31,25,71,47,37,196,382,1
30,25,72,46,36,189,384,7
29,25,70,45,35,181,145,14
9,6,110,44,35,180,63,1
8,6,103,43,35,173,406,30
7,6,102,42,35,172,207,30
6,5,100,41,34,170,111,1
5,5,91,40,32,161,276,14
28,24,69,39,32,160,703,30
26,23,69,37,31,159,155,7
25,23,69,36,31,159,128,1
1,0,0,35,30,157,70,7
0,0,0,34,30,157,442,30
4,4,87,33,29,154,63,1
24,19,60,32,26,137,155,1
23,19,60,31,26,136,109,1
22,19,60,30,26,136,296,90
21,19,60,29,26,136,131,1
2,1,0,28,25,134,761,90
1,1,0,27,25,134,0,1
0,0,0,26,23,133,793,1
20,17,67,25,22,141,381,7
20,18,64,25,23,138,169,1
19,18,64,24,23,138,180,1
3,2,52,28,23,113,0,1
23,20,51,27,23,97,132,90
2,1,36,26,19,79,246,14
22,16,40,25,18,76,270,90
21,13,32,24,15,51,208,1
20,13,32,23,15,51,113,14
19,13,32,22,15,51,76,14
1,1,12,21,15,44,152,14
0,0,12,20,14,44,109,1
18,12,32,19,13,43,167,1
17,12,32,18,13,43,208,14
16,11,29,17,12,40,106,1
15,11,27,16,12,38,0,14
14,11,27,15,12,38,0,1
13,10,27,14,11,38,106,1
12,10,26,13,11,37,157,30
11,7,25,12,7,32,55,1
10,7,24,11,7,29,175,7
9,6,20,10,6,24,376,180
8,4,17,9,4,21,200,1
7,4,17,8,4,21,173,1
6,4,17,7,4,21,132,1
0,0,0,6,4,21,151,14
5,2,6,5,2,10,107,1
4,2,3,4,2,6,564,90
2,2,3,2,2,6,201,1
1,1,2,1,1,5,101,1
0,0,2,0,0,4,266,1
0,0,0,32,25,32,277,1
8,5,21,33,25,32,208,7
7,4,16,32,25,25,246,7
8,4,16,33,25,25,191,1
17,8,7,33,21,23,71,1
17,9,3,30,20,17,167,1
24,10,4,40,21,17,199,180
1,1,0,40,20,22,302,1
22,7,10,38,19,32,0,7
23,7,10,39,19,32,0,7
9,5,22,40,19,33,104,180
15,11,8,31,25,25,242,90
10,5,26,41,19,37,186,1
22,7,12,42,20,49,35,14
1,0,0,43,20,49,181,14
2,1,0,43,20,49,0,14
23,7,12,44,20,49,434,1
24,8,13,45,21,50,113,1
10,6,37,45,23,51,141,7
0,0,0,41,23,51,374,7
11,5,30,42,19,44,136,1
23,10,13,43,20,47,126,180
1,0,0,43,19,47,1184,365
23,9,17,44,20,52,291,180
24,9,17,45,20,52,501,1
25,9,17,46,20,52,60,7
18,10,3,31,21,17,189,90
2,1,0,47,22,59,238,365
26,12,20,48,23,61,321,1
0,0,3,49,23,61,436,1
1,0,3,50,23,61,436,1
3,1,0,51,25,62,522,7
1,0,0,52,26,62,222,1
2,0,0,53,26,62,479,1
3,1,0,54,27,62,636,1
4,1,0,55,27,62,379,1
3,2,0,56,31,66,176,30
5,4,0,57,31,66,1099,1
26,13,19,58,32,73,39,1
22,8,8,38,20,30,118,90
6,5,0,59,34,77,247,1
7,5,0,60,34,77,614,7
27,15,23,61,35,77,109,365
8,6,0,62,35,78,342,14
28,15,24,63,35,78,184,7
11,5,53,61,36,85,163,1
26,14,27,60,33,84,216,1
1,0,0,62,33,84,154,1
11,8,0,64,35,84,191,1
11,4,53,64,36,84,215,1
9,8,0,61,36,84,1019,14
10,8,0,63,35,84,138,7
12,5,53,63,39,84,0,30
9,5,12,39,21,16,1,90
24,14,27,64,40,84,136,1
25,14,27,65,40,84,71,365
25,15,27,65,41,84,88,180
4,2,0,57,41,84,36,14
20,15,22,56,41,70,118,1
18,16,21,54,42,69,0,1000
19,16,21,55,42,69,0,14
20,16,21,56,42,69,107,180
8,6,40,54,40,65,47,1
21,14,21,54,41,65,100,1
22,15,21,53,42,55,204,180
19,15,22,55,41,70,233,14
20,16,20,49,43,64,118,1
21,17,20,50,44,64,166,1
22,18,22,51,45,67,76,1
0,0,0,52,46,72,778,7
23,19,27,53,46,72,114,30
24,19,29,54,46,74,467,180
28,16,27,62,36,84,293,180
24,18,38,51,44,92,58,30
2,2,6,48,39,86,52,1
5,5,49,49,40,90,0,1
6,6,56,39,33,101,328,1
3,5,3,33,32,110,139,7
7,7,68,34,32,120,82,1
18,15,32,35,33,126,79,1
18,15,29,32,31,140,0,1
4,5,113,27,26,188,694,30
0,0,0,25,25,194,259,7
0,0,0,26,25,198,0,1
1,1,20,24,27,212,0,30
2,1,22,25,27,214,0,14
3,1,23,22,25,220,105,1
10,14,50,22,24,224,210,1
11,15,50,23,25,224,309,90
12,15,50,24,25,224,172,1
12,16,59,24,28,248,178,7
14,16,59,26,28,248,0,1
10,13,47,21,24,234,352,7
11,13,42,22,24,229,40,1
13,14,48,24,25,236,139,7
1,1,3,25,27,240,317,1
14,16,52,26,27,239,193,1
15,17,52,27,28,239,34,1
15,17,52,27,29,239,506,1
2,2,3,28,31,241,3034,7
0,0,0,29,31,243,212,1
18,20,58,30,34,241,190,14
19,22,60,31,37,243,407,1
3,3,7,32,38,241,47,7
4,3,7,33,38,241,690,1
3,4,143,34,39,243,245,1
5,4,11,35,40,250,233,1
6,5,12,36,41,251,264,90
7,5,12,37,41,251,269,90
20,23,61,39,42,252,0,1
21,24,62,40,43,252,335,1
22,25,62,41,44,253,155,90
23,25,64,42,44,252,212,1
24,26,66,43,45,254,349,90
25,26,67,44,45,255,51,7
26,25,68,44,44,248,47,7
27,25,68,45,44,248,0,7
28,28,66,46,46,246,731,1
29,29,68,47,47,245,124,1
4,4,143,48,48,254,153,1
5,5,143,49,49,254,241,1
3,3,22,49,48,246,139,1
5,5,133,48,47,245,0,1
29,28,70,49,48,240,155,30
4,4,21,48,47,238,0,1
0,0,0,49,48,239,354,14
0,0,0,50,48,239,297,1
28,27,52,49,49,225,41,1
29,29,56,50,52,232,205,7
30,29,56,51,52,232,245,30
31,29,57,52,52,233,0,1
32,30,60,52,53,236,324,7
33,31,60,53,52,236,56,1
5,6,97,54,56,240,0,1
6,7,95,55,57,238,86,90
7,7,95,56,57,238,39,14
8,7,95,57,57,238,157,1
9,8,95,58,58,238,245,1
5,5,29,59,59,241,0,180
34,34,63,60,59,242,289,1
35,34,63,61,59,242,0,7
37,34,64,63,59,244,0,7
10,8,98,62,61,240,257,1
38,37,65,63,62,250,716,1
11,9,108,64,64,251,232,1
39,40,67,65,66,251,30,1
12,10,101,62,61,230,405,1
0,0,0,63,61,233,2,1
13,10,103,64,62,234,259,1
7,7,51,62,62,233,530,1
8,7,51,63,62,233,266,1
9,7,51,64,62,233,190,1
0,0,0,53,57,199,714,7
14,12,84,52,51,191,798,1
0,0,0,50,50,191,177,180
17,22,27,41,45,177,265,180
0,0,0,40,45,175,305,7
3,2,17,41,42,168,236,1
0,0,0,42,43,169,479,7
15,19,26,43,43,167,57,90
16,19,26,44,43,167,0,14
17,19,26,45,43,167,113,90
19,19,26,47,43,167,116,30
19,16,24,45,39,156,139,1
1,1,0,45,42,161,201,1
2,1,1,46,42,162,324,1
1,1,5,45,42,148,267,7
2,1,5,46,42,144,587,30
10,10,72,47,42,141,300,1
19,18,29,48,45,144,0,1
20,18,28,46,43,137,0,1
11,11,76,47,44,140,100,90
15,12,18,42,35,117,0,90
2,1,4,43,35,118,0,30
16,12,19,43,34,119,0,1
2,1,0,44,35,121,142,1
0,0,0,45,36,124,341,1
14,13,22,39,35,128,77,1
3,1,8,37,29,120,143,180
2,1,6,41,35,129,199,180
3,4,58,31,22,111,143,1
4,5,63,32,24,122,181,1
5,6,67,33,25,132,74,1
1,0,35,34,26,137,3550,1
2,0,35,35,26,137,108,1
3,0,37,36,26,139,292,1
5,3,37,38,29,147,114,1
4,3,37,37,29,147,164,1
6,3,37,39,29,147,407,1
6,7,83,40,32,152,64,7
13,8,19,42,32,155,0,14
0,0,0,43,32,157,497,7
7,6,37,44,32,157,514,30
8,6,37,45,32,157,3775,1
8,7,92,45,34,163,601,1
9,8,92,46,35,163,119,7
9,7,39,46,34,168,842,30
10,7,43,47,35,171,151,1
9,8,94,48,35,171,276,1
11,8,43,49,36,173,526,1
4,2,13,49,36,179,69,1
5,2,13,50,36,179,96,14
12,9,46,51,38,187,90,180
13,9,46,52,38,187,545,30
0,0,0,52,40,191,388,1
10,10,127,44,41,211,162,1
0,0,0,45,42,212,220,1
3,0,0,48,44,219,308,1
4,2,0,49,47,219,91,1
8,11,17,50,47,219,327,1
8,12,18,50,46,222,0,14
0,0,0,51,45,221,45,1
4,2,0,57,31,66,76,1000
0,0,0,50,45,220,285,1
9,10,19,51,45,212,193,7
12,12,19,54,47,214,381,30
11,10,135,55,47,214,148,1
13,11,36,57,50,216,311,7
14,11,36,58,52,218,243,1
13,14,18,58,54,224,166,1
14,14,19,58,54,229,0,1
15,15,19,59,55,233,50,1
16,16,19,60,56,234,233,1
17,16,19,61,56,234,360,7
18,16,19,62,56,234,58,1
0,0,0,63,59,239,606,1
1,1,0,64,60,239,295,7
2,1,0,65,60,239,379,1
15,14,36,65,63,249,330,7
16,14,36,66,63,249,381,30
17,14,36,67,63,249,423,1
18,15,34,68,61,245,212,180
20,15,34,69,61,254,346,1
5,4,26,70,62,257,0,1
13,10,176,72,66,279,136,1
21,17,29,72,66,303,740,1
22,18,29,73,67,304,996,14
17,18,47,74,68,307,0,1
14,12,202,75,69,312,157,1
18,19,46,77,70,313,66,1
19,19,46,78,70,313,89,1
20,19,46,79,70,313,189,1
21,20,46,80,71,313,288,1
0,0,0,81,74,321,409,1
2,1,0,83,75,324,108,7
3,1,0,84,75,325,360,7
4,1,0,85,75,324,160,7
0,0,0,86,78,331,163,1
1,1,0,87,81,332,435,1
2,2,0,88,82,333,21,1
14,13,218,89,83,335,144,1
15,14,219,90,84,336,1,1
0,0,0,86,83,325,157,1
3,3,0,87,84,326,253,1
16,15,216,88,84,326,322,1
24,20,27,89,86,329,588,90
0,0,0,92,86,326,132,1
1,1,1,92,87,326,145,1
25,20,26,91,88,322,958,90
26,20,26,92,88,322,1989,1
20,16,211,97,87,320,145,90
21,16,211,98,87,320,196,90
1,1,0,98,85,311,277,30
20,21,45,88,75,265,336,90
18,13,3,80,69,247,169,1
16,13,0,76,66,227,916,90
14,8,139,76,65,213,87,90
15,8,139,77,65,213,297,30
17,18,48,68,56,190,341,1
19,16,209,94,87,317,198,90
10,8,0,48,42,164,132,30
12,8,0,50,42,164,1142,1
13,8,0,51,42,164,1043,7
23,18,29,76,70,315,558,90
4,4,17,34,32,107,0,1
5,5,20,24,25,112,129,1
10,11,0,25,26,113,1657,1
4,6,22,20,25,116,186,1
0,0,0,20,26,116,479,1
0,0,0,17,19,95,2085,14
6,0,8,11,2,24,75,90
7,0,7,9,1,12,186,14
7,0,9,9,1,15,72,1
8,2,16,9,3,27,277,1
