@relation combinedRandom10Repos
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
5,2,0,369,167,1738,456,1
2,0,0,371,167,1744,68,1
12,2,8,342,153,1690,157,7
6,2,22,173,50,1110,265,90
5,0,0,176,50,1113,224,90
81,27,262,181,51,1120,106,90
0,0,0,1,0,96,129,1
10,0,0,11,0,96,169,1
2,0,26,15,2,100,210,90
5,0,0,6,0,96,221,1
0,0,48,16,4,99,45,7
13,4,0,17,5,90,107,14
14,4,0,18,5,90,274,14
15,4,0,19,5,90,140,14
3,0,30,20,5,90,170,14
16,4,0,21,5,90,534,14
17,4,0,22,5,90,247,14
18,4,0,23,5,90,168,14
19,4,0,24,5,90,217,14
20,4,0,25,5,90,0,14
21,4,0,26,5,78,183,14
22,4,0,27,5,78,481,14
0,0,0,28,5,75,94,7
23,4,0,29,5,75,192,7
24,4,0,30,5,75,42,14
25,4,0,31,5,75,345,14
26,4,0,32,5,75,287,7
27,4,0,33,5,75,92,14
28,4,0,34,5,81,265,14
1,1,40,35,5,92,85,1
31,4,7,39,5,119,529,7
12,0,0,13,0,96,207,14
11,0,0,12,0,96,284,14
32,6,10,40,8,117,206,1
33,6,10,41,8,117,54,1
2,2,48,42,13,122,95,1
3,2,48,43,13,122,13,7
34,10,11,44,13,126,426,7
35,10,11,45,13,126,307,7
0,0,0,46,13,124,883,30
1,0,0,47,13,124,176,7
2,0,0,48,13,124,199,1
3,0,0,49,13,124,521,7
36,10,11,50,13,126,351,7
5,0,0,52,13,126,551,7
6,0,0,53,13,126,195,1
37,10,11,54,13,126,70,7
7,0,0,55,13,126,267,1
8,0,0,56,13,126,418,1
9,0,0,57,13,125,217,1
5,0,48,58,24,128,401,7
38,15,11,59,24,128,70,1
39,16,11,60,25,128,602,1
1,0,0,2,0,96,56,14
6,1,46,61,29,123,187,90
40,19,11,62,29,123,155,7
41,20,11,63,30,124,121,7
42,21,17,64,31,142,0,1
43,21,17,65,31,142,108,1
44,21,17,66,31,148,300,1
45,21,17,67,31,148,266,1
0,0,15,68,31,148,413,365
46,21,17,69,31,147,169,1
4,3,59,70,32,150,8,1
47,39,17,71,55,156,36,1
9,0,0,10,0,96,492,365
0,0,31,0,0,86,158,90
1,0,24,14,0,96,148,90
48,40,21,72,56,163,60,90
49,40,21,73,56,163,216,7
5,5,63,75,57,193,130,365
51,41,21,76,57,197,274,7
52,41,22,77,57,215,440,7
0,0,0,78,57,230,354,30
1,0,0,79,57,230,259,30
53,41,22,80,57,241,451,30
55,41,22,82,57,241,200,365
0,0,0,83,57,244,622,7
1,0,0,84,57,252,191,7
2,0,0,85,57,255,236,30
56,42,24,86,58,281,28,30
57,42,24,87,58,286,154,1
4,0,42,37,5,111,105,30
2,0,0,88,62,297,241,1
3,0,0,89,62,297,282,1
58,43,24,90,62,297,299,14
59,43,24,91,62,297,432,30
60,43,24,92,62,297,166,1
61,45,24,93,66,297,313,1
62,46,26,94,69,303,167,180
63,46,26,95,69,303,204,30
64,46,26,96,69,303,193,30
65,46,26,97,69,303,231,90
66,46,26,98,69,303,207,1
67,46,26,99,69,303,85,7
7,4,171,100,69,303,192,14
8,4,171,101,69,303,269,30
68,47,26,102,70,303,259,30
69,48,26,103,71,313,0,1
70,48,28,104,71,315,151,30
72,49,36,106,72,329,719,1
73,50,36,108,73,336,659,90
74,50,36,109,73,336,137,14
75,50,36,110,73,336,50,14
76,50,36,111,73,342,305,7
4,2,0,112,73,344,877,14
77,50,38,113,73,350,107,7
78,50,38,114,73,350,279,14
3,2,0,115,74,379,231,14
79,51,38,116,74,387,179,7
80,52,38,117,77,389,207,1
10,6,198,118,79,394,414,14
81,54,38,119,79,395,201,365
82,54,40,121,79,403,106,7
83,54,40,122,79,403,200,180
84,54,40,123,79,403,159,7
85,54,40,124,79,403,122,1
86,54,40,125,79,403,179,365
87,55,41,126,80,409,106,7
9,4,179,107,73,336,232,14
88,64,57,128,93,438,78,7
4,2,0,129,93,438,323,1
5,2,0,130,93,438,262,1
6,2,0,131,93,443,148,180
90,64,59,135,93,443,46,1
91,64,59,136,94,443,272,1
1,0,39,137,98,444,196,1
92,66,59,138,99,446,70,365
93,66,59,139,99,446,119,1
12,9,0,144,108,453,95,365
2,1,51,146,111,509,485,14
3,1,51,147,111,509,93,1
96,73,91,149,111,509,112,180
95,71,59,143,108,453,158,365
97,74,91,152,113,509,322,30
10,6,0,153,113,509,45,365
11,6,0,154,113,509,123,365
12,6,0,155,113,509,402,7
13,6,0,156,113,509,507,90
98,74,91,157,113,509,158,365
94,71,59,140,108,453,166,30
99,75,91,157,116,509,90,7
100,75,91,158,116,509,306,30
101,75,91,159,116,509,161,1
0,0,0,161,117,509,161,1
102,76,91,162,117,509,89,1
0,0,0,163,118,509,603,180
94,76,91,158,118,486,360,7
95,76,91,159,118,486,116,7
96,76,94,160,118,513,2,1
97,76,94,161,118,516,157,1
98,76,94,162,118,516,46,1
0,0,0,173,122,490,654,7
12,11,263,163,123,523,388,365
99,82,94,164,125,532,279,180
1,0,0,156,124,538,129,180
92,82,94,159,124,543,32,180
1,0,0,160,124,547,227,1
93,82,98,161,124,547,65,14
94,82,98,162,124,547,182,180
95,82,98,163,124,547,39,7
14,11,275,162,126,558,0,365
16,11,275,164,126,558,86,7
88,83,105,159,126,579,23,90
106,80,91,171,122,492,174,14
89,85,105,161,128,580,178,1
17,11,294,162,128,580,98,1
18,11,294,163,128,580,294,7
2,1,0,161,129,555,160,7
3,1,2,162,129,555,0,180
0,0,0,168,120,508,55,30
104,78,91,165,120,509,197,30
4,1,2,162,128,552,287,365
0,0,0,158,126,586,40,7
2,1,0,155,126,552,388,1
81,81,95,148,126,551,395,365
5,8,0,149,126,550,90,7
6,8,0,150,126,551,372,1
7,9,0,152,127,552,442,365
7,1,2,153,127,551,154,365
18,13,281,154,120,542,205,30
80,73,95,153,113,539,190,365
0,0,0,147,114,536,506,365
18,13,278,148,114,541,445,365
8,2,2,149,114,541,236,30
9,2,2,149,113,539,112,365
0,0,0,150,106,538,581,1
9,3,0,151,91,546,173,30
10,2,2,152,91,546,140,14
11,2,2,153,91,546,398,180
12,2,2,154,91,546,85,365
11,3,0,155,90,539,1279,1
12,4,0,153,90,495,299,365
70,51,90,151,90,470,70,1
68,52,89,146,91,437,438,180
56,46,86,131,79,440,332,365
18,10,194,129,79,445,138,90
19,10,194,130,79,445,224,90
21,10,194,132,79,445,423,1
1,0,0,133,79,445,59,90
22,10,194,134,79,445,253,1
23,10,195,135,79,446,293,90
11,5,0,136,79,445,90,90
54,44,76,137,79,445,156,180
24,10,200,138,79,445,96,1
25,10,200,139,79,445,222,30
27,10,200,141,79,445,358,180
55,44,76,142,79,447,135,7
57,44,76,144,79,447,544,180
58,43,78,144,78,452,553,180
27,13,216,142,81,475,294,7
